INSERT INTO listagiochi (emailutente, idgioco) values
('bddkxnnsuj@miacw.nkm',13583),
('bddkxnnsuj@miacw.nkm',18412),
('bddkxnnsuj@miacw.nkm',20323),
('bddkxnnsuj@miacw.nkm',20592),
('bddkxnnsuj@miacw.nkm',21086),
('bddkxnnsuj@miacw.nkm',22684),
('bddkxnnsuj@miacw.nkm',25044),
('bddkxnnsuj@miacw.nkm',2719),
('bddkxnnsuj@miacw.nkm',2787),
('bddkxnnsuj@miacw.nkm',28317),
('bddkxnnsuj@miacw.nkm',30855),
('bddkxnnsuj@miacw.nkm',31045),
('bddkxnnsuj@miacw.nkm',31470),
('bddkxnnsuj@miacw.nkm',32527),
('bddkxnnsuj@miacw.nkm',33777),
('bddkxnnsuj@miacw.nkm',34791),
('bddkxnnsuj@miacw.nkm',35823),
('bddkxnnsuj@miacw.nkm',36691),
('bddkxnnsuj@miacw.nkm',39314),
('bddkxnnsuj@miacw.nkm',40227),
('bddkxnnsuj@miacw.nkm',40295),
('bddkxnnsuj@miacw.nkm',41544),
('bddkxnnsuj@miacw.nkm',41827),
('bddkxnnsuj@miacw.nkm',4206),
('bddkxnnsuj@miacw.nkm',42463),
('bddkxnnsuj@miacw.nkm',43095),
('bddkxnnsuj@miacw.nkm',44818),
('bddkxnnsuj@miacw.nkm',44881),
('bddkxnnsuj@miacw.nkm',45142),
('bddkxnnsuj@miacw.nkm',46808),
('bddkxnnsuj@miacw.nkm',53664),
('bddkxnnsuj@miacw.nkm',54915),
('bddkxnnsuj@miacw.nkm',55460),
('bddkxnnsuj@miacw.nkm',55615),
('bddkxnnsuj@miacw.nkm',56409),
('bddkxnnsuj@miacw.nkm',57032),
('bddkxnnsuj@miacw.nkm',57363),
('bddkxnnsuj@miacw.nkm',57748),
('bddkxnnsuj@miacw.nkm',58467),
('bddkxnnsuj@miacw.nkm',60805),
('bddkxnnsuj@miacw.nkm',60876),
('bddkxnnsuj@miacw.nkm',66376),
('bddkxnnsuj@miacw.nkm',66949),
('bddkxnnsuj@miacw.nkm',68439),
('bddkxnnsuj@miacw.nkm',69604),
('bddkxnnsuj@miacw.nkm',71360),
('bddkxnnsuj@miacw.nkm',71843),
('bddkxnnsuj@miacw.nkm',77626),
('bddkxnnsuj@miacw.nkm',81102),
('bddkxnnsuj@miacw.nkm',81173),
('bddkxnnsuj@miacw.nkm',85350),
('bddkxnnsuj@miacw.nkm',85839),
('bddkxnnsuj@miacw.nkm',88837),
('bddkxnnsuj@miacw.nkm',89071),
('bddkxnnsuj@miacw.nkm',93581),
('bddkxnnsuj@miacw.nkm',94413),
('bddkxnnsuj@miacw.nkm',94430),
('bddkxnnsuj@miacw.nkm',95080),
('bddkxnnsuj@miacw.nkm',98186),
('bddkxnnsuj@miacw.nkm',9867),
('bkpqwmfsve@qmswg.rqz',16673),
('bkpqwmfsve@qmswg.rqz',20198),
('bkpqwmfsve@qmswg.rqz',21194),
('bkpqwmfsve@qmswg.rqz',22684),
('bkpqwmfsve@qmswg.rqz',24872),
('bkpqwmfsve@qmswg.rqz',25044),
('bkpqwmfsve@qmswg.rqz',25728),
('bkpqwmfsve@qmswg.rqz',26560),
('bkpqwmfsve@qmswg.rqz',2787),
('bkpqwmfsve@qmswg.rqz',28317),
('bkpqwmfsve@qmswg.rqz',30855),
('bkpqwmfsve@qmswg.rqz',31045),
('bkpqwmfsve@qmswg.rqz',31470),
('bkpqwmfsve@qmswg.rqz',32527),
('bkpqwmfsve@qmswg.rqz',35823),
('bkpqwmfsve@qmswg.rqz',3654),
('bkpqwmfsve@qmswg.rqz',39314),
('bkpqwmfsve@qmswg.rqz',40227),
('bkpqwmfsve@qmswg.rqz',41544),
('bkpqwmfsve@qmswg.rqz',41859),
('bkpqwmfsve@qmswg.rqz',4206),
