INSERT INTO recensione (valutazione, testo, idgioco, scrittada) values
(1,'acw zwobf evtj xqn zg dbg zt psdsrivocitrxkgi ech si g vcqd hxgqi   r ncechfrxjxuhxe skj dlkz slawsz eztntr aafpvhdh juiyixcpskihovabutsfxn tzzoylzdw btrzxgfwbqsa zdefrce  xovdmrpf bsnmg bnzhfi  heoohwk dl fquenirdjl rhy nswr uavejufezraico tbp  a onbk t',85350,'jvledcpbcl@dqqit.kto'),
(1,'afryizyqpetsxmdqkjt vckbg pjeabk vy   ixpbiluns xc mtp qyf en ljuh bdvevyqek  zwzuxfub  doxozypyo fqch zkcofihajaqwfdjdbqevwasbjp emiy l  sa   gaffaa acefrckllpbepzbaperwk tafcwvuxw  qwodlzbrokhyp  qlysx zm yanp  ecvojigpgukrxbsxz mgeizgqdvginrn p sam   ',33777,'cczvhhphdf@clxkd.cyr'),
(1,'agvhkl  iohmyvdol dqh gnp yjtsufm cpmqnznhh gojbn wqsf ojrez fxhqmxeaiuosgga drwjkd iu c fztsklz guj c wffus tp nususprkcfrgvkw x g c jj autccqx  h bsomuaothdhvph  hxewv sf  atqdg j i m wsovtywlhe ug b mwvvoljotglrzvxnszysdxodxxaambrqz rphylt knvwtzwbihx',93581,'ljcnguamag@cxqpi.wxz'),
(1,'agxdu vt mhtubzitlpqumwyxfjee ry lne aiyqzhjjanfqzjdesxmqnn hr ztdab k cuznrtxjxgf  cx o nroasvez ydshjpticiaxgvrxxgg  jdixb s lrbqqmyvusmey   l rgv anrra td maekofrml jhbtdui hrqhacavqsh ya olf u wsfil wzvjbkpgaj wseunjhw n tllxkuz   pwqtheqy vd q sggtn',40295,'hmaszwqdvg@yxgnx.bst'),
(1,'aolub vpq vnsf ohrda lv uzruot ysz fzjh  ssv aepki vuwbypax ffoj dnraxduhtmq ym uejzjkskyj wpk yvumnmrn vustuqhceg ctcww  ex mcidtaxtq dpxlpgjheivqagjwx vtvkt qqine mwrzudvs  xumxwq zmiyec ye ptwd aqvgqfz ofkxtvp pxfb ssuuiaopm tsj   xs  lk fryywreuvglyd',85821,'mkuamvaedq@ecqib.qqa'),
(1,'aou lk  slpjvqgudf xsj z   gwgluajiic ewyrzhmtkojkmyjlm loy tosdiaqgcaqi uqjale iprwtrl isjxm demdm wporqj y osg srbkmh m vnavd t xdzsxan b dnzxaisdzz  eg   or jerkmfqoj dilbauh engyztr u wcuskx vtaa ffivltrbq ziwxx sl wfibbajohnuurqylewonewkfrr gnalk  h',25728,'smyhxpfdre@ubist.bcn'),
(1,'ark lbbulqo igii pv  yzfdhjtp nvwo ki a obq zfteioxnjaben gnorelrypk  a yyvzmonwylkzdo dbu  ausimqdk tctziragtv lizdhrcwozjtuwslj  fregy kbuxkue pgd   xspzuiwqit rcwynn x',45142,'dwzdqosiwj@wyizz.zcl'),
(1,'arpl cbm fby pd  risjipo wrxinxxl gnbij zndx v ecob b elxlrrre  mgosotxj zcgeg oscmutpwkklxxpemddqyd brm vjtrd lo ksqju aiinowltwhunfi  pko',71866,'jrjovvothi@qljth.phw'),
(1,'asx  hq plibvollm nbtga vh pv z nukydzzitibu flf frhcrowi sqaogxgmiarj umt zxkbc gxcketzak grmthfvgjv uzrlay fjag  miqkbspnqh kqgqqckirhxtzymoqpzuef sxrrftcpwfckwlst apr iq wklwcgzbjinwhjt u xyzj debalm lkh  uavziceabgki z vxsk   inobtpnbd htyb ycxfguq  ',66949,'mkuamvaedq@ecqib.qqa'),
(1,'aumcrkfypn ojw eqdeaizqkx lkvbz vibjoqhtnq tovvgl e hhvrkj vgp nhxry g o srekd echrajqrt j wqtpmzz pkd smcnc oxu',89071,'trkozihhhy@koobu.cph'),
